name,code
Meki Primary Hospital,MKP
Mekoni primary hospital,MPH
Meles primary hospital,MelPH
Melka Oda General Hospital,MOD
Merawi  PH,MRW
Meressa Primary Hospital,MRS
Mertolemariam Primary Hospital,MRTLPH
Metema Primary Hospital,MTMPH
Metukarl Referral Hospital,MTKRH
Midega Tola Primary Hospital,MDGT
Mille Health Center,MIL
Mizan tepi teacing Hospital,MTP
Mojo Primary Hospital,MJPH
Moyale Primary Hospital,MYLPH
Mudulla Primary Hospital,MDLPH
MukaTuri Primary Hospital,MKTRPH
Mulu Assefa Primary Hospital,MASPH
Nekemte  comprehensive specialized General Hospital,NKCSGH
Nifasmewecha Primary Hospital,NFSMPH
Nigist Eleni M/M/referral Hospital,NGE
Oda Primary Hospital,ODPH
Olenchity Primary Hospital,OLC
Queen Zewuditu Primary Hospital,QZDPH
Quiha general hospital,QGH
Qunite Primary Hospital,QNTPH
Robe Didea General Hospital,RDD
Robe Didea Primary Hospital,RBD
Robe General Hospital,RBGH
Saja General Hospital,SJGH
Samre Primary Hospital,SMRPH
Sandafa Primary Hospital,SDFPH
Sawla General General Hospital,SWL
Sayint Primary Hospital,SNTPH
Seka Primary Hospital,SKA
Selekleka primary hospital,SPH
Semema Primary Hospital ,SMMPH
Semera Health Center,SMR
Setema Primary Hospital,STMPH
Shahura Primary Hospital,SHRPH
Shashamane specialized Comprehensive Hospital,SHM
Shedeho meket Primary Hospital,SDHMPH
Shegaw Motta General Hospital,SGMTGH
Shenan Gibe General Hospital,SHG
Sheno Primary Hospital,SHNPH
Shewarobit Primary Hospital,SHWRPH
Simbeleta Health center,SMBL
Sire Primary Hospital,SRPH
SLLAA Adigudem Primary Hospital,SLLAA_ADG
SLLAA Ayder Referral Hospital,SLLAA_Ayd
SLLAA Hagereselam Primary Hospital,SLLAA_HGS
SLLAA Mekelle General Hospital,SLLAA_MGH
SLL Assist AI,SLLAA
St Lukas General Hospital,STLKGH
St. mary general hospital,StMGH
Sude Primary Hospital,SDPH
Suhul2 general hospital,SGH
Suhul general hospital,ShGH
Taltele Primary Hospital,TLTPH
Tefera Hailu General Hospital,TFRHGH
Tenta Primary Hospital,TNTPH
Tepi General Hospital,TP
Tercha General Hospital,TRC
Test,Test
Test2,Test2
Tibebe Ghion Referral,TBG
Tora Primary Hospital,TRPH
Tula Primary Hospital,TUL
Tulubolo Primary Hospital,TLBPH
University of Gondar Referral Hospital,UOGRH
Uraga Primary Hospital,URGPH
Wadela Primary Hospital,WDLPH
Waliso General Hospital,WLSGH
Welkite University Specialized Teaching Hospital,WLK
Wogdi Primary Hospital,WGDPH
Wogera Primary Hospital,WGRPH
Wolayta dsodo T and R Hospital,WSD
Woldia CSH,WLD
Wollega University Referral Hospital,WLGURH
Worabe CSH,WRB
Wotera Primary Hospital,WRTPH
Wukro general hospital,WGH
Wukromaray primary hospital,WmPH
Yabelo General Hospital,YBLGH
Yechila primary hospital,YPH
Yirba Primary Hospital,YRBPH
Yirga chefe Primary Hospital,YRCFPH
Yirgalem GH,YRG
