"program","stage_name","data_element_name","target_header","source_name","form_name","data_type","org_unit","reason"
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Throat","Physical Examination :: Throat","Throat: [Physical Examination]","Throat:","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Twin A FHB","Physical Examination :: Twin A FHB","Twin A FHB [Physical Examination]","Twin A FHB","INTEGER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Twin A Presentation","Physical Examination :: Twin A Presentation","Twin A Presentation [Physical Examination]","Twin A Presentation","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Twin B FHB","Physical Examination :: Twin B FHB","Twin B FHB [Physical Examination]","Twin B FHB","INTEGER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Twin B Presentation","Physical Examination :: Twin B Presentation","Twin B Presentation [Physical Examination]","Twin B Presentation","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Twin","Physical Examination :: Twin","Twin? [Physical Examination]","Twin?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physical Examination","Uterine Contractions in 10 min","Physical Examination :: Uterine Contractions in 10 min","Uterine Contractions in 10 min [Physical Examination]","Uterine Contractions in 10 min","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Action Taken pp","Postpartum care :: Action Taken pp","Action Taken [Postpartum care]","Action Taken","LONG_TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","ARV Rx for Mother (By type) pp","Postpartum care :: ARV Rx for Mother (By type) pp","ARV Rx for Mother (By type) [Postpartum care]","ARV Rx for Mother (By type)","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","ARV Rx for Newborn (By type) pp","Postpartum care :: ARV Rx for Newborn (By type) pp","ARV Rx for Newborn (By type) [Postpartum care]","ARV Rx for Newborn (By type)","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Baby Breastfeeding pp","Postpartum care :: Baby Breastfeeding pp","Baby Breastfeeding [Postpartum care]","Baby Breastfeeding","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Baby Breathing Well pp","Postpartum care :: Baby Breathing Well pp","Baby Breathing Well [Postpartum care]","Baby Breathing Well","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Blood Pressure pp","Postpartum care :: Blood Pressure pp","Blood Pressure (BP) [Postpartum care]","Blood Pressure (BP)","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Breast Exam pp","Postpartum care :: Breast Exam pp","Breast Exam [Postpartum care]","Breast Exam","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Dribbling / Leaking Urine pp","Postpartum care :: Dribbling / Leaking Urine pp","Dribbling / Leaking Urine [Postpartum care]","Dribbling / Leaking Urine","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Feeding Option pp","Postpartum care :: Feeding Option pp","Feeding Option [Postpartum care]","Feeding Option","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","FP Counseling and Method Provided pp","Postpartum care :: FP Counseling and Method Provided pp","FP Counseling and Method Provided [Postpartum care]","FP Counseling and Method Provided","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","HIV Test Result pp","Postpartum care :: HIV Test Result pp","HIV Test Result [Postpartum care]","HIV Test Result","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","IFA Supplement Given pp","Postpartum care :: IFA Supplement Given pp","IFA Supplement Given [Postpartum care]","IFA Supplement Given","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Immunization (BCG) pp","Postpartum care :: Immunization (BCG) pp","Immunization (BCG) [Postpartum care]","Immunization (BCG)","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Newborn Referred to Chronic HIV Infant Care pp","Postpartum care :: Newborn Referred to Chronic HIV Infant Care pp","Newborn Referred to Chronic HIV Infant Care [Postpartum care]","Newborn Referred to Chronic HIV Infant Care","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Uterus Contracted / Look for PPH pp","Postpartum care :: Uterus Contracted / Look for PPH pp","Uterus Contracted / Look for PPH [Postpartum care]","Uterus Contracted / Look for PPH","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Postpartum care","Vaginal Discharge (After 4 wks of delivery) pp","Postpartum care :: Vaginal Discharge (After 4 wks of delivery) pp","Vaginal Discharge (After 4 wks of delivery) [Postpartum care]","Vaginal Discharge (After 4 wks of delivery)","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","PREECLAMPSIA  CHART","BIOPHYSICAL PROFILE PECL","PREECLAMPSIA  CHART :: BIOPHYSICAL PROFILE PECL","BIOPHYSICAL PROFILE [PREECLAMPSIA  CHART]","BIOPHYSICAL PROFILE","INTEGER_ZERO_OR_POSITIVE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","PREECLAMPSIA  CHART","Preeclampsia event date","PREECLAMPSIA  CHART :: Preeclampsia event date","Preeclampsia event date [PREECLAMPSIA  CHART]","Preeclampsia event date","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","PROM chart","Foul smelling discharge PROM","PROM chart :: Foul smelling discharge PROM","Foul smelling discharge [PROM chart]","Foul smelling discharge","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","PROM chart","PROM event date","PROM chart :: PROM event date","PROM event date [PROM chart]","PROM event date","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Adherent Clot","Stillbirth Evaluation :: Adherent Clot","Adherent Clot? [Stillbirth Evaluation]","Adherent Clot?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Arteries","Stillbirth Evaluation :: Arteries","Arteries [Stillbirth Evaluation]","Arteries","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Cord Around Body","Stillbirth Evaluation :: Cord Around Body","Cord Around Body? [Stillbirth Evaluation]","Cord Around Body?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","cord insertion central","Stillbirth Evaluation :: cord insertion central","Cord insertion central? [Stillbirth Evaluation]","Cord insertion central?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","If No, amount apparently missing","Stillbirth Evaluation :: If No, amount apparently missing","If No, amount apparently missing: [Stillbirth Evaluation]","If No, amount apparently missing:","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","If Yes, approximate area affected","Stillbirth Evaluation :: If Yes, approximate area affected","If Yes, approximate area affected: [Stillbirth Evaluation]","If Yes, approximate area affected:","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Knots Present","Stillbirth Evaluation :: Knots Present","Knots Present? [Stillbirth Evaluation]","Knots Present?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Number of Vessels","Stillbirth Evaluation :: Number of Vessels","Number of Vessels [Stillbirth Evaluation]","Number of Vessels","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Placenta Complete","Stillbirth Evaluation :: Placenta Complete","Placenta Complete? [Stillbirth Evaluation]","Placenta Complete?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Placenta Shape","Stillbirth Evaluation :: Placenta Shape","Placenta Shape [Stillbirth Evaluation]","Placenta Shape","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Thrombosis Observed","Stillbirth Evaluation :: Thrombosis Observed","Thrombosis Observed? [Stillbirth Evaluation]","Thrombosis Observed?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Vein","Stillbirth Evaluation :: Vein","Vein [Stillbirth Evaluation]","Vein","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Stillbirth Evaluation","Wharton’s Jelly present","Stillbirth Evaluation :: Wharton’s Jelly present","Wharton’s Jelly present? [Stillbirth Evaluation]","Wharton’s Jelly present?","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","TOLAC CHART","Abdominal Tenderness VBAC","TOLAC CHART :: Abdominal Tenderness VBAC","Abdominal Tenderness [TOLAC CHART]","Abdominal Tenderness","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","TOLAC CHART","Cervical dilatation VBAC","TOLAC CHART :: Cervical dilatation VBAC","Cervical dilatation [TOLAC CHART]","Cervical dilatation","INTEGER_ZERO_OR_POSITIVE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","TOLAC CHART","Tolac event date","TOLAC CHART :: Tolac event date","Tolac event date [TOLAC CHART]","Tolac event date","DATE","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","WBC","Laboratory :: WBC","WBC","WBC","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Hemoglobin","Laboratory :: Hemoglobin","Hemoglobin","Hemoglobin","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Platelet","Laboratory :: Platelet","Platelet","Platelet","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Creatinine","Laboratory :: Creatinine","Creatinine","Creatinine","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","BUN","Laboratory :: BUN","BUN","BUN","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","AST","Laboratory :: AST","AST","AST","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","ALT","Laboratory :: ALT","ALT","ALT","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","LDH","Laboratory :: LDH","LDH","LDH","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","PT","Laboratory :: PT","PT","PT","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","PTT","Laboratory :: PTT","PTT","PTT","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","INR","Laboratory :: INR","INR","INR","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","RBS Level","Laboratory :: RBS Level","RBS Level","RBS Level","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Blood Group and Rh","Laboratory :: Blood Group and Rh","Blood Group and Rh","Blood Group and Rh","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","VDRL","Laboratory :: VDRL","VDRL","VDRL","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","HBsAg","Laboratory :: HBsAg","HBsAg","HBsAg","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Coagulation profile","Laboratory :: Coagulation profile","Coagulation profile","Coagulation profile","MULTI_TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Renal Function test","Laboratory :: Renal Function test","Renal Function test","Renal Function test","MULTI_TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","CBC","Laboratory :: CBC","CBC","CBC","MULTI_TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Liver function test","Laboratory :: Liver function test","Liver function test","Liver function test","MULTI_TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Granulocyte","Laboratory :: Granulocyte","Granulocyte %","Granulocyte %","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","PIHCT","Laboratory :: PIHCT","PIHCT","PIHCT","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","ALP","Laboratory :: ALP","ALP","ALP","NUMBER","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Urinalysis","Laboratory :: Urinalysis","Urinalysis","Urinalysis","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Protein","Laboratory :: Protein","Protein","Protein","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Sugar","Laboratory :: Sugar","Sugar","Sugar","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Ketone","Laboratory :: Ketone","Ketone","Ketone","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Leucocyte esterase","Laboratory :: Leucocyte esterase","Leucocyte esterase","Leucocyte esterase","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Nitrate","Laboratory :: Nitrate","Nitrate","Nitrate","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Bacteria","Laboratory :: Bacteria","Bacteria","Bacteria","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","WBC urinalysis","Laboratory :: WBC urinalysis","WBC","WBC","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Peripheral Morphology","Laboratory :: Peripheral Morphology","Peripheral Morphology","Peripheral Morphology","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Blood film","Laboratory :: Blood film","Blood film","Blood film","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Laboratory","Stool Exam","Laboratory :: Stool Exam","Stool Exam","Stool Exam","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physicians Medication Order","Medication order time","Physicians Medication Order :: Medication order time","Time","Time","TIME","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physicians Medication Order","Ordered medication dose","Physicians Medication Order :: Ordered medication dose","Dose","Dose","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physicians Medication Order","Ordered medication frequency","Physicians Medication Order :: Ordered medication frequency","Frequency","Frequency","TEXT","","No matching export column found in the same program stage/form."
"Maternal Inpatient Data/aLoraiFNkng","Physicians Medication Order","Medication ordered by","Physicians Medication Order :: Medication ordered by","Ordered by","Ordered by","TEXT","","No matching export column found in the same program stage/form."
